QB,CLASS,247 RATINGS,STARS,HEIGHT,WEIGHT,POSITION,STATE,HOMETOWN,HIGH SCHOOL,COMMITTED DATE,POSITION RANK,NATIONAL RANK,STATE RANK,COMMITTED SCHOOL ID,COMMITTED SCHOOL,RECRUIT STATUS,PLAYER URL,,,,,,,,STRAIGHT LINE DISTANCE (MILES),DRIVING DISTANCE (MILES)
Nate Bennett,2024,84,3,1-Jun,184,QB,California,Westlake Village,Oaks Christian,,108,2135,157,24019,Baylor,Enrolled,https://247sports.com/player/nate-bennett-46130738/,,,,,,,,1269.6,1481.6
Jake Schakel,2024,85,3,2-Jun,194,QB,Washington,Puyallup,Emerald Ridge,,94,1742,24,24126,Eastern Washington,Signed,https://247sports.com/player/jake-schakel-46103786/,,,,,,,,221.4,278.1
Kaleb Annett,2024,84,3,3-Jun,200,QB,California,Newport Beach,Corona Del Mar,,99,1923,138,24117,Boise St.,Enrolled,https://247sports.com/player/kaleb-annett-46139958/,,,,,,,,696.2,877.1
JC Evans,2024,84,3,5-Jun,211,QB,Florida,Miami,Miami Central,,101,2004,235,24144,James Madison,Enrolled,https://247sports.com/player/jc-evans-46111816/,,,,,,,,878.3,1016.5
Cash McCollum,2024,84,3,4-Jun,210,QB,Texas,China Spring,China Spring,,95,1908,265,24114,North Texas,Enrolled,https://247sports.com/player/cash-mccollum-46117493/,,,,,,,,108,131.9
Boone Lourd,2024,83,3,1-Jun,203,QB,California,Los Angeles,Brentwood School,,123,2284,182,24016,Virginia,Enrolled,https://247sports.com/player/boone-lourd-46116039/,,,,,,,,2220,2550.2
JD Davis II,2024,85,3,2-Jun,190,QB,Georgia,Loganville,Grayson,,89,1658,158,24077,Western Michigan,Enrolled,https://247sports.com/player/jd-davis-ii-46145809/,,,,,,,,590.8,739.9
Deyon Batiste,2024,,0,5-Jun,235,QB,Texas,Cypress,Cy Park,,,,,24086,Wyoming,Enrolled,https://247sports.com/player/deyon-batiste-46115875/,,,,,,,,958.5,1131.2
Asher Weiner,2024,85,3,4-Jun,200,QB,Colorado,Littleton,Valor Christian,,90,1659,10,24169,Princeton,HardCommit,https://247sports.com/player/asher-weiner-46108975/,,,,,,,,1600.3,1790.5
JacQai Long,2024,84,3,2-Jun,205,QB,West Virginia,Hurricane,Hurricane,,107,2134,7,24052,Marshall,Enrolled,https://247sports.com/player/jacqai-long-46145592/,,,,,,,,22.1,25.5
Tucker Parks,2024,85,3,1-Jun,193,QB,Texas,Spring,Klein Collins,,86,1655,232,24116,Western Kentucky,Enrolled,https://247sports.com/player/tucker-parks-46122902/,,,,,,,,701.9,831
Talon Fisher,2024,84,3,2-Jun,200,QB,Ohio,Fairfield,Fairfield,,111,2155,80,24063,Navy,HardCommit,https://247sports.com/player/talon-fisher-46118485/,,,,,,,,333.5,426.8
Colter Ginn,2024,84,3,3-Jun,205,QB,Georgia,Perry,Perry,,103,2030,187,24100,Georgia,Enrolled,https://247sports.com/player/colter-ginn-46134945/,,,,,,,,104.5,120.6
Braden Streeter,2024,84,3,2-Jun,207,QB,Tennessee,Nashville,Christ Presbyterian Academy,,105,2084,74,24142,Delaware,Enrolled,https://247sports.com/player/braden-streeter-46136434/,,,,,,,,647.5,760.2
Jace Stuckey,2024,86,3,1-Jun,194,QB,Indiana,Fairland,Triton Central,,72,1431,22,24070,Eastern Mich.,Enrolled,https://247sports.com/player/jace-stuckey-46139411/,,,,,,,,218.2,280.9
Gael Ochoa,2024,82,3,2-Jun,195,QB,Texas,El Paso,El Paso Pebble Hills,,139,2587,355,24084,UNLV,Enrolled,https://247sports.com/player/gael-ochoa-46118237/,,,,,,,,579.7,766.4
Keshawn Mister,2024,83,3,1-Jun,180,QB,Maryland,Towson,Concordia Prep,,210,2370,51,24160,Old Dominion,Signed,https://247sports.com/player/keshawn-mister-46139364/,,,,,,,,174.2,240
Andrew Maushardt,2024,84,3,3-Jun,205,QB,California,Santa Fe Springs,St. Paul HS,,115,2216,177,24089,California,Enrolled,https://247sports.com/player/andrew-maushardt-46114961/,,,,,,,,357.8,388.7
Eric Handley,2024,84,3,2-Jun,180,QB,Alabama,Fairfield,Fairfield Preparatory School,,100,1924,87,24232,Wofford,Signed,https://247sports.com/player/eric-handley-46114838/,,,,,,,,302,327.6
Cody Pagach,2024,84,3,3-Jun,192,QB,Tennessee,Alcoa,Alcoa,,104,2053,65,24254,West Georgia,Signed,https://247sports.com/player/cody-pagach-46117194/,,,,,,,,165.3,192.2
Kallen Gutridge,2024,82,3,3-Jun,196,QB,Oregon,Wilsonville,Wilsonville,,136,2523,19,24091,Oregon State,Enrolled,https://247sports.com/player/kallen-gutridge-46139988/,,,,,,,,57.4,68.6
Sam Kaiser,2024,82,3,5-Jun,205,QB,Missouri,Columbia,Rock Bridge,,143,2663,31,24167,Harvard,Enrolled,https://247sports.com/player/sam-kaiser-46139608/,,,,,,,,1133.4,1294.9
Anthony Wolter,2024,84,3,11-May,203,QB,California,Lancaster,St. Bonaventure,,113,2158,163,24122,Nevada,Enrolled,https://247sports.com/player/anthony-wolter-46114529/,,,,,,,,347.4,404.2
Ty McCutcheon,2024,85,3,3-Jun,185,QB,Hawaii,Honolulu,Punahou,,83,1636,8,26462,Utah Tech,Enrolled,https://247sports.com/player/ty-mccutcheon-46129897/,,,,,,,,2854.8,N/A
Jim Ogle,2024,85,3,2-Jun,183,QB,Alabama,Jacksonville,Jacksonville,,93,1709,78,24112,Louisiana-Monroe,Enrolled,https://247sports.com/player/jim-ogle-46117404/,,,,,,,,375.1,428.2
Alonzo Contreras,2024,84,3,11-May,180,QB,California,Calabasas,Calabasas,,114,2162,164,24124,San Jose State,Enrolled,https://247sports.com/player/alonzo-contreras-46136133/,,,,,,,,285.5,338.4
Chris Dietrich,2024,83,3,3-Jun,205,QB,New Jersey,Sparta,Pope John XXIII,,120,2280,46,24075,Temple,Enrolled,https://247sports.com/player/chris-dietrich-46139079/,,,,,,,,78.2,97.3
Clayton Dees,2024,83,3,2-Jun,180,QB,Florida,Bradenton,Palmetto,,117,2277,258,24109,FIU,Enrolled,https://247sports.com/player/clayton-dees-46139944/,,,,,,,,181.5,233.3
